index,推荐人ID,推荐博主名称,博主涉及领域,博主所在平台,跳转链接,推荐理由,推荐时间
84,丽日枫凪,新世纪之光,CFD,B站,https://space.bilibili.com/176075?spm_id_from=333.788.b_765f7570696e666f.2,天大的教师，蝙蝠时代被迫出道的，讲的很通俗易懂,2021-02-07 00:00:00
85,Ocean,老爸评测,,,,少交智商税,2021-02-07 00:00:00
86,我是初墨我姓熊,智能路障,鲁迅,B站,https://space.bilibili.com/79577853?share_medium=android&share_source=copy_link&bbid=XYDA138DA6550513AA57842955B1BB84C9C7B&ts=1612798785432,鲁迅生平，以及鲁迅著名作品栏目,2021-02-07 00:00:00
87,Thello,正月点灯笼,编程,B站,https://b23.tv/Ifl7XD,尽管计算机和编程什么的跟我自己的专业顶多半毛钱关系，但是我觉得他讲东西和解释都非常清楚，有时甚至都觉得我看上瘾了。,2021-02-07 00:00:00
88,Thello,帆雨动画,机械原理,B站,https://b23.tv/ai2mVC,机械原理小动画，非常神奇。,2021-02-07 00:00:00
89,Thello,稚晖君,,B站,https://b23.tv/Vc752Z,总而言之实在是太厉害了，自称野生钢铁侠，独立开发迷你电子产品,2021-02-07 00:00:00
90,萌萌哒的酸奶片,汤质看本质,哲学，哲学史,B站,https://space.bilibili.com/362588980?from=search&seid=1912393903864066673,简要介绍哲学是什么，为了什么，为什么要学哲学。还有一大堆哲学科普教你适应这个世界.,2020-02-08 00:00:00
91,萌萌哒的酸奶片,薛定饿了么,物理，数学,B站,https://space.bilibili.com/44473221?from=search&seid=8088246349130514384,通过生动有趣的科普视频来介绍数学以及物理学中的各种深奥而又有趣的内容,2020-02-08 00:00:00
92,Туманвский,JHTV,Maya/3D建模,B站,https://space.bilibili.com/72488046,曲线建模，uv排布，简单动画，骨骼绑定,2021-02-08 00:00:00
93,Туманвский,龚老师课堂,Maya，zb/3D建模,B站,https://space.bilibili.com/98828888/video?tid=0&page=5&keyword=&order=pubdate,主流3D软件大部分功能教学，介绍,2021-02-08 00:00:00
94,sin,一数,数学竞赛,B站,https://space.bilibili.com/14229967?from=search&seid=10028804473132962898,基础，扎实，经典，拔高,2021-02-08 00:00:00
95,sin,HuangFuRen,物理,B站,https://space.bilibili.com/23630128?from=search&seid=1126913047084698945,适合高一至高三,2021-02-08 00:00:00
96,北大学长,求职救星瑞秋姐姐,求职教育,B站,https://space.bilibili.com/471151393,很厉害的一个500强HR分享求职技巧,2021-02-08 00:00:00
97,Alan FEVM,硬核麻将,电子音乐，编曲,B站,https://space.bilibili.com/14321190?from=search&seid=5145131305589045072,讲解很厉害的操作，深入混音，告别野鸡教程,2021-02-08 00:00:00
