index,推荐人ID,推荐书籍名称,书籍作者,推荐语,推荐日期
185,panda,你当像鸟飞往你的山,Tara Westover,一个姑娘摆脱愚昧、家庭的阻碍走向教育的故事,
186,panda,一九八四 1984,George Owell,Big brother is watchiong you!,
187,panda,小王子,Antoine de Saint-Exupéry,"童心之源, 各语种译本, 适合用作语言学习",
188,言灵_kotodama,《百年孤独》,马尔克斯,,
189,Ocean,《装台》,陈彦,描写西安文化及社会现象,
190,安德与千,《绘画的头脑风暴》,(英)皮亚. 山姆 菲利普. 贝弗利,激发灵感的创意练习，每个人都是艺术家,
191,书生,《非暴力沟通》,,父母总是用吵架来代替沟通，很怕受原生家庭的影响，想学好好沟通的人可以看一下,
192,星尘,《笑场》,李诞（蛋总）,在一言一语中体会陪伴与人生！,
193,,《鲁迅全集》,,不需解释，鲁迅两个字就是最好的解释,
194,好意浓,《蒋勋说红楼梦》（上海三联书店版本）,蒋勋,适合初读红楼的朋友，能够在蒋勋先生的讲堂得到更深的体会。（蒋勋先生说，他是把《红楼梦》当作佛经来读的，因为里面处处是慈悲，处处也都是觉悟。）,
195,安德与千,《万物解释者》,(美)兰道尔.门罗,科普书籍，用手绘和简单文字讲述尖端科学。整本书没有任何难理解的词汇，无论你是小朋友还是成年人，阅读这本书都是十分有趣的。,
196,Thello,《浮世画家》,石黑一雄,似乎从书里每一个不同的角色的角度，我都能看到不同的世界【多看几遍吧~】,
197,an131466,《加密与解密》,段钢,计算机类偏逆向书籍(新手必备),
198,Alexander_邱,《美国反对美国》,王沪宁,我认为这本书还可以叫做美国社会调研报告，考察的很全面很详细，给你一个全面而又真实的美国本身,
199,众议院吾无者无,人间失格,太宰治,通过痛苦感受美好,
200,贝克与璐,《学习之道》,芭芭拉,,
201,癞皮狗的爪爪,《故事策略》《经典人物原型45种》,埃里克·埃德森、维多利亚•林恩•施密特,两本编剧工具书，五六十条需要牢牢背记的傻瓜知识模型。不必羞耻于掉书袋，先掌握方法论，后用细水磨积岩。吃得苦中苦，纸上得来才不浅，灵感意念非玄学，读书千变万化同。将编故事所需的镣铐当做朋友，才能成为为大多数观众服务的成熟创作者。,
202,中医雨霁,《临证指南医案》,叶天士,叶氏不仅是温病大家，也是伤寒论的集大成者，本书通过医案展示了叶氏的学术思想，如络病的治法，半夏泻心汤治湿热，小半夏汤通胃阳....,
203,中医雨霁,《温病纵横》,赵绍琴,赵老为三代中医家传，几十年的临床经验形成了对温病的独特认识，对在卫汗之可也等问题进行了建设性的解答。,
204,当微风吹拂我们的脸颊,《共产党宣言》,马克思、恩格斯,无产阶级在这个革命中失去的只是枷锁，他获得的将是整个世界,
205,当微风吹拂我们的脸颊,《局外人》,加缪,道德判你死刑，哲学证你无罪。by豆瓣热评,
206,当微风吹拂我们的脸颊,《江村经济》,费孝通,,
207,烟雨休,《一日看尽长安花》,程郁缀,热爱中华传统文化的可以来看看。从先秦到明清历史长河中的文学故事娓娓道来，名章佳句信手拈来，非常好看，雅俗共赏，可以在起点中文网试看电子版,
208,颯斗,《现代密码学──原理与协议》,乔纳森·卡茨，耶胡达·林德尔,现代密码学教材，涵盖了密码学的基本知识与许多扩展性课题，推荐给每一位对网络安全所感兴趣的同学,
209,无纹西瓜,《望春风》,格非,演绎幽微处世情人性，乡土小说，没什么大场面，但是幽默有趣,
210,苦涩的生物碱,《性学三论》,西格蒙德•弗洛伊德,性学鼻祖弗洛伊德所著，该书在性学领域非常重要，在人类思想文化史中占据一席之地。希望了解相关知识的同学可以耐下性子看看,
211,一只哒宰桑哒小迷妹,《阅读的故事》,唐娜,作者身边充斥着作家，读了很多年书，却才刚刚提笔。多年的阅读让他真正成为了许知远口中的“天下第一读书人。”这本书以加西尔·马尔克斯的《迷宫里的将军》为引，解读了大部分人会对阅读有的疑问。它是我重新爱上看书的理由。,
212,萌萌哒的酸奶片,《心路沧桑》,高戈里,从国民党六十军到共产党五十军的心路历程变化，体验那个艰难但又伟大的时代.体会共产党战无不胜的根本力量，为了人民.,
213,糊涂地明白,《古文观止》,吴楚材，吴调侯,顾名思义，读完这本书，你的文言文水平就炉火纯青了。而且里面讲的其实是从周朝到明朝的历史，在学习文言文的同时也会学到很多历史知识。,
214,子沫,《追风筝的人》,卡勒德·胡赛尼，李继宏,为你，千千万万遍。——来自书中，治愈与被治愈的故事。,
215,Carpediem丶,《四书章句集注》,朱熹,中国古典经典，必读。,
216,San,《高效能人士的七个习惯》,史蒂芬.科维,名字很官方，内容令人深受启迪，强推！！！,
217,k,苏菲的世界,乔斯坦 贾德,"从最原始的主体论到20世纪的虚无主义，书本身也透露着""思辨""，非常适合哲学入门以及提升自己的思辨能力（此书为入门级，关于教父哲学之后的讲的不是特别详细）",
218,阿弥尔于莲,,,,
219,,《通向实在之路》,[英] 罗杰·彭罗斯,,
220,STEADILY,《簡愛》,夏洛蒂，勃朗特,,
221,STEADILY,《黑暗坡食人樹》,島田莊司【日】,,
222,STEADILY,《無人生還》,阿加莎，克利斯蒂【英】,,
223,黑色麻雀W,《不能承受生命之轻》,米兰·昆德拉,适合反复阅读，其中关于哲学的讨论很脚踏实地，不是那种空谈,
224,93年的农夫,《看见》,柴静,从新闻人视角去看待这个世界，了解何谓世间百态。,
225,纯情的小火鸡,《八次危机》,温铁军,温老师是从是三农经济的学者，很多人对这一领域其实是很陌生的，但诸位如若对从民国至今的中美贸易战有所兴趣或研究可以入手温铁军老师系类书籍。在b站上也有相关视频，可以先了解这个行业领域。三农经济与每一个人都息息相关，微妙的变化就发生在我们身边，希望当今的新一代年轻人们都可以重视起来。,
226,纯情的小火鸡,《去依附》,温铁军,也可以在b站搜陈平老师，陈老师人送外号眉山剑客，温老师更加谦卑些。十几分钟的视频，希望各位可以喜欢并了解。,
227,Tristesse_STK,《掌控习惯》,詹姆斯·克利尔【美】,作者对人的习惯的养成作了非常多的分析，背后涉及到人的心理、环境等等的因素，也列举了不少有效的解决问题的方法。个人觉得对于大部分读者都会很有指导性意义。,
228,jzh,《C++ Primer》,stanley B.Lippman,c++经典作品，也是计算机专业的必读书籍 可以说读完了c++primer就算入了c++的门,
229,jzh,《计算机网络（自顶向下方法）》,詹姆斯.F.库罗斯,从顶层开始讲述计算机网络的内容，激发读者阅读兴趣，具有硬核的知识,
