index,推荐人ID,推荐课程名称,老师（博主）名称,4.推荐课程对应领域,课程所在平台,跳转链接,推荐理由,推荐日期
125,囚玉君,Cubase中文教程,音律屋,编曲,B站,https://www.bilibili.com/video/BV1K64y1Y7zM?p=1&share_medium=android&share_plat=android&share_session_id=21890ed9-aa9e-4b18-87b4-f82637297a63&share_source=WEIXIN&share_tag=s_i&timestamp=1639966814&unique_k=QD2axdL,适用于Cubase8、Cubase10.5、Cubase11等各个版本。课程永久更新。,2021-12-19 10:22:49
126,天天向上DDup,造价,*,*,无,,,2021-12-19 11:46:28
127,cza,数字图像处理,无,电子信息工程,无,,,2021-12-19 11:57:55
128,华宝Sir,【百集精品】史上最全数据恢复全套教程,Newtxin,计算机数据恢复/winhex,B站,https://www.bilibili.com/video/BV1aa4y1v7Tu?from=search&seid=8592539844899198992&spm_id_from=333.337.0.0,对winhex数据恢复打基础很有帮助，且老师可爱（算是吧hhc），而且进群可以免费领一些教程（就是群有点冷清）,2021-12-19 14:09:22
129,花栗鼠de,新教伦理与资本主义精神导读,郁喆隽,社会学,学习强国-慕课,,老师详细介绍韦伯生平和新教发展的背景，适合小白入门,2021-12-19 14:59:43
130,一生最爱犬夜叉,西方园林史,于冰沁,风景园林,,慕课,每节课老师都会根据各地区的文化特色来讲园林史,
131,途安,C++,,计算机,,https://www.bilibili.com/video/BV1et411b73Z,(空),
132,途安,古月 · ROS入门21讲,古月,机器人,,https://www.bilibili.com/video/BV1zt411G7Vn,学习ROS机器人操作系统最好的入门课程，旗下还有其他非常实用实例课程可以购买，而且很便宜,
133,途安,思维导图xmind百度脑图零基础小白从入门到精通精品视频教程,吴明,思维导图,,https://www.bilibili.com/video/BV19E411L7gB,(空),
134,慎和水谷,测绘学概论,宁津生,土木工程,,https://www.xuexi.cn/lgpage/detail/index.html?id=8505571661917395608,(空),
135,慎和水谷,中国服装史,贾玺增,服装设计,,https://www.xuexi.cn/lgpage/detail/index.html?id=15622293995474236608,(空),
136,慎和水谷,中华国学,张荣明,汉语言文学,,https://www.xuexi.cn/lgpage/detail/index.html?id=4146907619235024711,对于年轻一代的学子，学习国学不仅仅在于了解先贤哲人的思想和古代社会的道德体系，更在于用其中优秀的思想来提高我们的人文素养，完善道德修养，提升精神境界，进而重整社会秩序，振兴民族。,
137,慎和水谷,思辨式英文写作,唐磊,英语,,https://www.xuexi.cn/lgpage/detail/index.html?id=12708705322055075135,(空),
138,tkotw,算法与数据结构,闫学灿,计算机科学与技术,,https://space.bilibili.com/7836741,老师讲的很好，适合准备算法竞赛、公司笔试面试的同学听,
139,tkotw,算法与数据结构,闫学灿,计算机科学与技术,,https://www.acwing.com/activity/,老师讲的很好，适合准备算法竞赛、公司笔试面试的同学听,
140,qs-IHS-IN,运动仿真,刘宏新,CATIA数字样机,,超星尔雅学习通,手把手，小白也能变大神,
141,怎样起一个名字呢,王骁Albert：美国背面研究报告,王骁Albert,政治/国际关系,B站,https://www.bilibili.com/cheese/play/ep2711,了解美国非常好的课程（收费）,
142,743297455,刑法学,罗翔,法学,b站,,,
143,就依你oo,2中学教育知识与能力【科目二】,云考点考试-泡芙老师,教师资格证考试/教育,B站：云考点教师考试,https://www.bilibili.com/video/BV1xA411F7v5,这个我是跟着学过来，还挺不错，推荐给需要备考教资的小伙伴们。,
144,哄哄,pr后期剪辑,pr教程,视频后期,B站,,让自己成为一个有用的人,
145,jffojdkf,《魔方基础教学-层先法》,刘老师教魔方,其他/魔方,B站,BV14K411J7Eq,让你轻松学会还原魔方，层先法是魔方的基础，不需要记忆太多公式,
146,Tel鱼丸粗面,《刑法学》,罗翔,法学,无,,,
147,行止,《国家玮：高考作文提分攻略》,国家玮,语文（作文）,B站,https://www.bilibili.com/cheese/play/ep3094,非常有用，打破你的固有思想。高考前几天看都很合适！,
148,A_Amian,很多,很多,很多,B站,,,
149,桑榆将至,透过性别看世界,沈奕斐,社会学/两性关系,B站/学习通,,,
150,有吉,《免费PPT制作教程》,完美男人珞珈老师,PPT,B站,,顺滑的PPT制作，,
151,DIT.兔子,《普通话易错字》,木成,声音表演/侧重沟通的专业,B站,,张嘴说话是大部分人必需的技能，如果你对声音表演感兴趣那更可以看一下啦~,
152,啦啦,工程,造价,工程,b无,,,
153,大和福子,【Mo公开课】C4D基础课（已完结）——54集精心制作全模块C4D课程,曾潇霖,影视特效,B站,BV1ur4y1T72V,讲解非常详细的C4D课程，会把容易遇到的问题都会分析出来，适合小白,
