index,推荐博主名称,博主涉及领域,平台及链接,推荐人ID,推荐理由,推荐时间
37,麦呆小公举, ,[B站](https://m.bilibili.com/space/24284811),不系之舟,培养水彩特长，推荐很多良心画材,2021-01-17 00:00:00
38,1,3,其他,张,6,2021-12-19 22:49:19
39,老蒋巨靠谱,B站,B站,小斯,全B站分析内容最强的up主之一,2021-06-12 00:00:00
40,新世纪之光,CFD,[B站](https://space.bilibili.com/176075),丽日枫凪,天大的教师，蝙蝠时代被迫出道的，讲的很通俗易懂,2021-02-07 00:00:00
41,JHTV,Maya/3D建模,[B站](https://space.bilibili.com/72488046),Туманвский,曲线建模，uv排布，简单动画，骨骼绑定,2021-02-08 00:00:00
42,龚老师课堂,Maya，zb/3D建模,[B站](https://space.bilibili.com/98828888/video),Туманвский,主流3D软件大部分功能教学，介绍,2021-02-08 00:00:00
43,工业设计,SamzDesign,[B站](https://space.bilibili.com/390124595),紫小圣,为数不多产品设计和生产工程都有涉猎的up，设计学院最大短板就是对于生产端的认知不足，比绝大多数学校课堂强多了。,2022-04-11 18:00:15
44,《远离网络诈骗》,TOM表哥,[B站](https://space.bilibili.com/121225592),---boom,和骗子抢时间、抢客户，让你的字典里再也没有电信诈骗。,2022-02-13 22:51:44
45,新像素,UI设计,[B站](https://space.bilibili.com/389903587),Fantasy,国内少数几个免费公开高质量的Figma教学视频，且会经常更新。同时也可关注老师的个人号：草帽sMao，也有不少干货分享。,2021-12-18 19:39:54
46,b站,b站,B站,Jimmy,b站,2021-12-18 19:15:46
47,《生活物理》,不刷题的吴姥姥,[B站](https://space.bilibili.com/395877542),---boom,同济大学物理学教授，紧跟时事，玩转物理。,2022-02-13 22:48:36
48,李董男,中医,[B站](https://space.bilibili.com/410889248),远志学,中医各家学说，中国医学史，有态度的中医老师,2021-01-19 00:00:00
49,冷静医夏,中医科普,B站,HDBLMM,科普中医知识，风格有趣可爱，讲的通俗易懂,2021-12-16 19:25:35
