index,推荐课程名称,授课老师,课程对应专业,平台及链接,推荐人ID,推荐人专业,推荐语,推荐日期
203,《OpenCv库的使用》,,图像识别,[B站](https://www.bilibili.com/video/BV16K411W7x9),罗小格,电子信息工程,3小时简单介绍OpenCv，在github配有例程，适合有一定编程语言基础的同学,2021-02-08 00:00:00
204,《土木工程测量》,张宏斌、胡伍生、高成发、翁永玲、王磊,土木工程,[B站](https://www.bilibili.com/video/BV1Tf4y1s7V3),留云龙云,土木工程测量,,2021-05-19 00:00:00
205,《材料力学，流体力学，理论力学，结构力学》,郭战胜，房佳蓓，任延宇，范小春,土木工程,无,蔚水逐叶,土木工程,, 
206,《测量学》,何彬彬,土木工程,[B站](https://www.bilibili.com/video/BV1s64y1d7Xm),留云龙云,土木工程测量,,2021-05-19 00:00:00
207,《混凝土结构基本原理》,顾祥林,土木工程,[中国大学MOOC](https://www.icourse163.org/course/TONGJI-53003),男神的气质,土木工程,,2021-01-16 00:00:00
208,《材料力学》,西南大学，龚晖,土木类,B站,顺风浪浪阿拉善,土木工程,知识点讲解及其详细，同时语言风格生动幽默，不少考研党都在用,2021-12-19 01:10:29
209,《地史学》,龚一鸣等老师,地质学,[爱课程](http://www.icourses.cn/sCourse/course_3299.html#),南望山人,地质学,国家精品课程，中国地质大学地质学专业的核心课程,2021-02-09 00:00:00
210,《几点结束》,大家觉得,基督教,无,大喊大叫,基督教,大结局,2021-12-31 18:52:53
211,《基础化学》,楼上工具人（真名：傅云涛）,基础化学,[B站](https://www.bilibili.com/video/BV1zK411M7P4（八个视频，包含了有机化学的导论、两个学期的期中期末复习等）),bilibili——楼上工具人（也是作者）,药学（基础药学理科基地）,up主本人作为本科在读生，对于中国药科大学的基础化学知识点进行了比较深入的研究之后，完成的视频。由于精力等原因，视频制作前后拉的占线很长，导致格式不一致, 
212,《基礎會計學》,,基礎會計學,[爱课程](http://www.icourses.cn/sCourse/course_7038.html),它魔亓,國際經濟與貿易,老師講課清晰明了，主要就是能聽進去,2021-02-08 00:00:00
213,《塞万提斯的堂吉诃德》,,外国文学,网易公开课,枝丫儿,汉语言文学,对西方文学传统有一个宏观掌握，不仅谈及一本书,2021-02-08 00:00:00
214,《西班牙语》,陈星,外语/西班牙语,[无](https://www.xuexi.cn/lgpage/detail/index.html?id=9713705786165956306),冰糖葫芦撒花椒,药学,构建西语语法及其体系。,2022-04-04 19:00:52
215,《西班牙语简介》,刘缘艺,外语/西班牙语,[无](https://www.xuexi.cn/lgpage/detail/index.html?id=5184664461729675393),冰糖葫芦撒花椒,法学,西班牙语初学者,2022-04-04 19:03:06
216,《离散函数》,李奕辰,大一前期,B站,123,都可以学,,2021-12-18 07:26:57
217,《固体物理学》,李丹 刘斌,大学物理,[MOOC](https://www.icourse163.org/course/NJTU-1207232804?tid=1207572205),SNOWIOR,物理学,讲的比较基础，但是能对固体物理及半导体，凝聚态的基础知识有一定的了解,2021-02-08 00:00:00
218,《大学物理》,马东蔚,大学物理,[B站](http://www.icourses.cn/sCourse/course_7032.html),小问号有很多问号,园艺,吹爆“波动光学”那一章，“机械波”部分建议看东南大学的,2021-01-18 00:00:00
219,《大学物理》,东南大学物理系老师,大学物理,[爱课程](http://www.icourses.cn/web/sword/portal/shareDetails?cId=2532#/course/chapter),水清浅,电气工程及其自动化,大学物理上册自学全靠这个。,2021-01-14 00:00:00
220,《大学物理实验-绪论-有效数字的运算和最后结果的表示》,物理微课-大物金豆说,大学物理,B站,洲芝博x,理工类,大物实验数据处理,2021-12-18 09:29:49
221,《大学物理实验-绪论-直接测量不确定度的计算》,物理微课-大物金豆说,大学物理,B站,洲芝博x,理工类,大物实验数据处理,2021-12-18 09:29:09
222,《大学物理实验-绪论-间接测量不确定度的计算》,物理微课-大物金豆说,大学物理,B站,洲芝博x,理工类,大物实验数据处理,2021-12-18 09:28:02
223,《高等数学》,宋浩,大学生,[B站](https://www.bilibili.com/video/BV1Eb411u7Fw),中国好同学,通信工程,期末预习（doge保命）,2021-12-22 20:09:42
224,《Hadoop》,大海哥,大数据,B站,丨等你下课丨,计算机,Hadoop3版本很好的入门课，清晰，全面。,2021-12-17 20:05:46
225,《大数据技术原理与应用》,,大数据,[中国大学MOOC](https://www.icourse163.org/course/XMU-1002335004),许zy,计算机科学,适合计算机专业的同学们入手学习大数据技术,2021-01-17 00:00:00
226,《大学计算机基础》,,大计基,[B站](https://www.bilibili.com/video/BV1EW411u7th),艾莉丝_格雷拉特,计算机科学与技术、大计基,动画演示丰富，逻辑清晰语言风趣（比学校ppt强多了），了解计算机历史也是这个学科很有趣的一部分,2021-02-06 00:00:00
227,《恒星物理》,姜碧沩,天体物理,B站,佚文,天体物理,,2021-12-18 12:12:04
228,《星系与超大质量黑洞的形成及协同演化》,美国宾州州立大学Niel Brandt教授、北京大学科维里天文与天体物理研究所Luis Ho教授、美国马萨诸塞大学莫厚俊教授、上海天文台袁峰研究员,天体物理,B站,佚文,天体物理,在AGN与星系演化领域优质的入门课，可填补国内相关方向没有入门课的遗憾,2021-12-18 12:10:34
229,《天文漫谈》,徐学军,天文学,中国大学MOOC,xjk,生态学,课程内容老少皆宜，内容生动有趣又蕴含希腊和中国文化，打开神秘有趣的天文世界。,2021-12-18 16:30:11
230,《普通天文学》,李向东,天文学,[中国大学MOOC](https://www.icourse163.org/learn/NJU-1001752349?tid=1450456448#/learn/announce),_Super_nova_,天文学,入门的天文学课程，具备高中物理知识就可以，很适合入门,2021-02-09 00:00:00
231,《高等天文学》,姜碧沩,天文学,B站,佚文,天体物理,非常系统的研究生基础课，也非常适合有一定物理基础的人入门天文学,2021-12-18 12:07:54
232,《学会如何学习 Learning How to Learn（中文字幕）》,coursera公开课,学习方法,B站,上海靓仔,信息安全,教你如何学习了解学习的本质,2021-12-18 10:51:51
233,《学前儿童观察与评价/幼儿园课程》,梁慧娟,学前儿童观察与评价/幼儿园课程,无,努力腌自己的盐巴罐子,学前教育专业,然后是学前教育学，学前心理学，学前卫生学，学前儿童健康、科学、社会、数学、语言（这些都是并列的）教育，学前儿童观察评价，幼儿园游戏，幼儿园课程，中外学前教育史......这些核心支柱科目,2021-01-27 00:00:00
234,《学前儿童观察与评价》,视频（用于观察评价）,学前教育,[其他](https://v.qq.com/detail/0/04wf1o2h8grzp70.html),努力腌自己的盐巴罐子,学前教育专业,上课我们好多老师都提到过，还有老师在课上给我们时间观察过，系主任教的学前儿童观察与评价，自己课下找了这个视频看了看。确实能让你体会到幼儿园教师作为观察者评价者的作用，适合反复观看。,2021-01-27 00:00:00
235,《宏觀經濟學》,小卷毛愛學習,宏觀經濟學,B站,它魔亓,國際經濟與貿易,相信我，老師講的沒聽懂，她講的特別清晰，一定可以听懂,2021-02-08 00:00:00
236,《宝石鉴定与鉴赏》,李耿,宝石材料学,[网易公开课](https://open.163.com/newview/movie/free?pid=MAH2S9PHU&mid=MAHAM9A7O),碳碳apartment,材料化学,无数宝石外行人家，通过他的课走向专业珠宝的道路。,2021-02-08 00:00:00
237,《玉雕与玉器》,郭颖,宝石材料学,[网易公开课](https://open.163.com/newview/movie/free?pid=M98F2ENTN&mid=M98PHBOKO),碳碳apartment,材料化学,老师绘声绘色地讲述玉与玉文化，校园公开课供不应求,2021-02-08 00:00:00
238,《审计学基础》,王会金 、南永清 、杨柔坚 、鲁於 、孙红莉 、马淼森 、贾云洁,审计学/会计学,[中国大学MOOC](https://www.icourse163.org/course/XXMU-1206689844?from=searchPage&outVendor=zw_mooc_pcssjg_),晴晓溪,审计学,, 
239,《影视基本理论》,陈旭光,导演系,[B站](https://www.bilibili.com/video/BV1eW411Z7Sn),无人深空,导演系,文学艺术修养以及世界电影历史发展历程,2021-02-09 00:00:00
240,《影视基本理论》,钟大丰,导演系,[B站](https://www.bilibili.com/video/BV1b4411w74v),无人深空,导演系,考研、框架整理线索、快速理清知识点,2021-02-09 00:00:00
241,《小学语文课程标准与教材研究》,王荣生,小学教育,中国大学MOOC,Jane,小学教育专业,目前为止，王荣生老师在小学语文课程领域的研究十分深入，为数不多的好课,2021-01-18 00:00:00
242,《岩石力学与工程》,李长洪,岩石力学,B站,原谅帽快递员1号,岩土工程,,2021-12-17 20:27:48
243,《[野火]STM32 FreeRTOS内核实现与应用开发实战指南》,野火,嵌入式软件工程,[B站](https://www.bilibili.com/video/av57449565),哦啵啵啵oo,计算机科学,"知识含量全面末节丰富,快速入门都是2倍数,操作系统,推荐顺序(2)",2021-02-09 00:00:00
244,《[野火]STM32 HAL库开发实战指南》,野火,嵌入式软件工程,[B站](https://www.bilibili.com/video/BV18X4y1M763),哦啵啵啵oo,计算机科学,"知识含量全面末节丰富,快速入门都是2倍数,适合熟鸟有助于提升开发进度*100",2021-02-09 00:00:00
245,《[野火]STM32 emWin实战指南》,野火,嵌入式软件工程,[B站](https://www.bilibili.com/video/BV16t4y117rN),哦啵啵啵oo,计算机科学,"知识含量全面末节丰富,快速入门都是2倍数,图形软件库,推荐顺序(1)",2021-02-09 00:00:00
246,《[野火]STM32 电机应用开发实战指南》,野火,嵌入式软件工程,[B站](https://www.bilibili.com/video/BV1AZ4y1V7wt),哦啵啵啵oo,计算机科学,"知识含量全面末节丰富,快速入门都是2倍数,电机应用,推荐顺序(3)",2021-02-09 00:00:00
247,《[韦东山]Linux嵌入式全系列视频_快速入门篇》,韦东山,嵌入式软件工程,[B站](https://www.bilibili.com/video/BV1w4411B7a4),哦啵啵啵oo,计算机科学,"知识含量全面末节丰富,一辈子都学不完嘻嘻",2021-02-09 00:00:00
248,《电工学》,齐超、刘洪臣,工业工程/视频后期,[B站](https://www.bilibili.com/video/BV19p411R7gs),青崖白鹿,工业工程,电工学为大部分工科专业都需要学习的一门课程，本视频教程详细分布到每一章节每一知识点,2021-12-30 23:14:09
249,《keyshot教程》,ccu三三二十,工业设计/keyshot渲染教程,[B站](https://space.bilibili.com/327242284),紫小圣,工业设计,最细致的keyshot教程，对比讲解各材质的区别也令我眼前一亮。新手按部就班，老手查漏补缺。可惜过于小众，更完全套课程之后就断更了。,2022-04-11 17:49:56
250,《世界现代设计史》,王受之,工业设计/设计史,B站,Fantasy,工业设计,考研参考书籍《世界现代设计史》作者王受之老师亲自讲解，讲解通俗易懂，简单有趣，为设计类或对设计感兴趣的学生必看课程。,2021-12-18 19:35:47
251,《微机原理》,周佳社,工学,[B站](https://www.bilibili.com/video/BV1R7411Y7sA),青年蒋哥是也,电子信息工程,记得准备同版课本,2021-12-24 13:15:07
252,《数字电子技术》,新手小牛,工学,B站,LULAlula-,智能科学与技术,讲的真的很好，很详细，一听就能听懂,2021-12-22 16:51:57
253,《数字电子技术基础》,王红,工学,[B站](https://www.bilibili.com/video/BV18p411Z7ce),青年蒋哥是也,电子信息工程,清华课程需要预习和即时复盘，否则易掉队。,2021-12-24 13:13:14
254,《机械设计》,谭庆昌教授,工学,[B站](https://www.bilibili.com/video/BV1Bt4y1X7oQ),文才有个大梦想,机械,具有丰富的高等数学下册的三维图像，老师讲授时数形结合，对下册中的知识由因到果进行细致讲解、通透清晰，适用于考研、大学考试等, 
255,《模拟电子技术》,新手小牛,工学,B站,LULAlula-,智能科学与技术,讲的真的特别详细，还能听懂,2021-12-22 16:50:11
256,《模拟电子技术基础》,郑益慧,工学,[B站](https://www.bilibili.com/video/BV1Gt411b7Zq),青年蒋哥是也,电子信息工程,,2021-12-24 13:16:56
257,《物理化学》,刘硕,工科,B站,一页一叶,制药工程,天大版物理化学，这是我找到的最好的网课了，老师讲的很不错,2021-12-17 22:34:52
258,《复变函数与积分变换》,高数叔,工科专业,[B站](https://www.bilibili.com/video/BV1hV411v7KB),llguo,电子信息工程,课程挺不错的，讲得挺好的,2022-01-02 11:34:58
259,《Guassion》,刘老师,工程,B站,845666561,工程,,2021-12-18 18:31:30
260,《弹性力学》,兵心依旧022,工程力学,无,晴天,工程力学,把弹性力学讲的透透的~, 
261,《AI C4D PS教程》,b站up主KurTips,平面设计,B站,东方月圆,动漫,主Ai的教程,2021-01-18 00:00:00
262,《Affinity Designer for iPad 教程》,b站up主六月六的蓝莓酱,平面设计,B站,橘橘皮皮,视觉传达设计,极少数affinity designer教程,2021-02-08 00:00:00
263,《PS入门基础教程》,doyoudo,平面设计,[B站](https://www.bilibili.com/video/BV1Xs411q7DW),烟雨休,视觉传达设计,强烈推荐，听过最好的PS基础教程，小白老师人美声甜，讲得条理清晰，简单易懂，千万播放,2021-02-07 00:00:00
264,《超级育儿师》,兰海,幼儿心理学,其他,斯莫斯咖福,学前教育,有具体的案例可以观看，看老师是如何处理家庭问题的，把书本的知识转化为解决问题的能力,2021-02-01 00:00:00
265,《好玩的广告学》,汤志耘,广告学,中国大学MOOC,穷开心,广告学,专业老师推荐，讲述清晰有趣,2021-01-17 00:00:00
266,《广告学概论：观念与思路》,康瑾等10余位老师,广告学,[中国大学MOOC](https://www.icourse163.org/course/CUC-1206148805?tid=1206444209),巷巷子小姐,广告学,入门看会很实用,2021-12-23 12:56:38
267,《C4D入门教程》,李翔,广告学、视觉传达、设计,[B站](https://www.bilibili.com/video/BV177411P7d1),少油少盐,广告学,从十个案例入手学习C4D，好玩且有趣，让C4D更好上手。示范时老师也会遇到一些bug，跟着分析，解决问题。对C4D的掌握会更加熟练。并且可以顺带解锁AE的操作。一举多得呢~,2021-12-22 01:23:56
268,《视听语言》,于然、桂笑冬、孙振虎,广播电视编导,B站,五维世界的幼鸟,光电信息科学与工程,中传的一个很好的课程！！,2021-12-19 10:55:55
269,《物理化学》,王新平等,应用化学,[MOOC](https://www.icourse163.org/course/DUT-1001734002),鹪鹩巢林,化学工程,化学化工类科目，天大、吉大和大连理工都不错，基本教材三分天下（邢其毅有机化学北大独树一帜除外）；大连理工的物理化学推导严密，注重教学演绎逻辑，实操性强，与工程紧密结合,2021-01-25 00:00:00
270,《中枢神经解刨》,袁建新,应用心理,中国大学MOOC,5乘7等于35,应用心理,中枢学习的圣经,2021-01-16 00:00:00
271,《零基础BLENDER2.8中文开源系统入门教程》,b站up主只剩一瓶辣椒酱,建模,B站,东方月圆,动漫,老师很厉害且很良心,2021-01-18 00:00:00
272,《东南大学：中国建筑史 潘谷西（全15讲）》,潘谷西,建筑,无,素情巷,建筑学 景观 园林,,2021-12-18 18:21:31
273,《结构力学》,潍坊科技学院刘老师,建筑,[B站](https://space.bilibili.com/525840055),没头没脑槑,水利水电工程,讲的很细致的老师,2021-12-21 10:49:07
274,《西方古代建筑艺术史》,陈文捷,建筑,[B站](https://space.bilibili.com/376953214),xinhuihuihui,建筑,结合社会文化大背景讲建筑史，有详实的图片地图信息以及补充故事，深入浅出，适合所有本专业和非本专业的朋友！, 
275,《中外建筑史》,王受之,建筑/设计,B站,Fantasy,工业设计,设计史作者亲自讲解，浅显易懂,2021-12-18 19:30:46
276,《中国古代建筑艺术》,柳肃,建筑、城乡规划,[中国大学MOOC](https://www.icourse163.org/course/0828HNU002-43002?utm_campaign=share&utm_medium=androidShare&utm_source=),西窗残荷,城乡规划,帮助了解中国传统建筑与设计思想,2021-02-08 00:00:00
277,《建筑设计》,王桂秀,建筑学,无,隐姓埋名,建筑学,生命终将逝去，所以我们不妨大胆点, 
278,《色彩密码》,黄茜,建筑学,[中国大学MOOC](https://www.icourse163.org/course/HNU-1460821161),SW斯凯沃克,建筑学,生动有趣的色彩学课程，迅速帮助色彩小白建立起色彩认知的知识体系。,2021-02-09 00:00:00
279,《中国古建筑艺术》,柳肃,建筑学（建筑历史方向）,[中国大学MOOC](https://www.icourse163.org/course/HNU-43002),SW斯凯沃克,建筑学,给一般大众和非建筑专业学生的古建筑文化科普，历史与建筑形式相融合，而且柳肃老师都上央视百家讲坛了。,2021-02-09 00:00:00
280,《建筑室内设计CAD布局出图》,大雷-南工深化设计,建筑室内设计CAD图纸,B站,钟声,建筑室内设计,这个老师讲的好细好细好细呀,2021-12-18 10:38:58
281,《住宅精细化设计》,周燕珉,建筑设计,[学堂在线](https://www.xuetangx.com/course/THU08281000445/4231099?channel=learn_title),是我阿克希呀,建筑学,建筑学在读研究生表示住宅设计的讲解非常棒,2021-02-08 00:00:00
282,《适老居住空间与环境设计》,周燕珉,建筑设计,[学堂在线](https://www.xuetangx.com/course/THU08281000383/4227267?channel=learn_title),是我阿克希呀,建筑学,介绍我国人口老龄化现状居住政策，从多角度讲解建筑项目的适老化设计,2021-02-08 00:00:00
283,《弹性力学》,王钦亭,弹性力学,中国大学MOOC,Tian.H,工程力学,结合高等数学讲解弹性力学的微元体平衡方程的建立！适合初学弹性力学。,2021-02-09 00:00:00
284,《PR后期剪辑》,PR剪辑系统,影视后期,B站,灿烂阳光,建筑学,, 
285,《半导体物理》,,微电子,[其他](https://sme.xidian.edu.cn/html/bkjj/zxkt/bdtwl1/),绝命香菜,电子科学与技术,通俗易懂，讲的很棒(备注∶不知道为啥老师名字那格不显示，填到后面一格了),2021-02-08 00:00:00
286,《高等数学》,宋浩,微积分,B站,这纱原叫月影纱,工商管理,老师讲解细致，幽默风趣，高数全靠这位老师了,2021-02-08 00:00:00
287,《初級微觀經濟學》,史晋川,微觀經濟學,[爱课程](http://www.icourses.cn/sCourse/course_6796.html),它魔亓,國際經濟與貿易,老師風趣幽默，講課趣味性高，學識淵博，講課清晰易懂,2021-02-08 00:00:00
288,《微观经济学》,吴开超,微观经济学,中国大学MOOC,白日梦,金融,超级好的老师，认真负责，举例简单清晰，很有逻辑，很有意思,2021-02-07 00:00:00
289,《Nico's Weg》,,德语,[其他](https://learngerman.dw.com/en/overview),Anarcho-communist,自动化,从字母到B2都有，视频和练习结合，视频不死板，很贴近实际，练习的种类也很多，需要翻墙,2021-02-08 00:00:00
290,《现代德语文学》,刘永平,德语语言文学,MOOC,我有病还没治,德语,国内少有的德语语言文学简析，对考研的同学以及对德语文学感兴趣的同学完全可以看一下，还邀请了其他的专家老师进行讲解,2021-01-26 00:00:00
291,《走遍德国A1-B2》,b站,德语｜德国语言文学,[B站](https://www.bilibili.com/video/BV1K54y1X7CN),Skyscraper_max,德国语言文学,德语从入门到放弃（不是, 
292,《发展心理学》,苏彦捷,心理学,中国大学MOOC,阿柒NANA,心理学,建立发展心理学的知识体系，不仅仅是书上内容，有利于了解一个生命全程的发展，很有意思,2021-01-20 00:00:00
293,《实验心理学》,陈彩琦,心理学,中国大学MOOC,阿柒NANA,心理学,条理清楚，逻辑清晰，和前沿学科相关联，与时俱进，结构完整，通俗易懂，很适合专业学生进行系统学习，爱好者也可以认识到心理学更科学的一面,2021-01-20 00:00:00
294,《幸福课（积极心理学）》,TalBen Shahar,心理学,网易公开课,巫术的分类,哲学/宗教学,幸福圣经,2021-02-08 00:00:00
295,《心理学导论》,Paul Bloom,心理学,[网易公开课](https://open.163.com/newview/movie/free?pid=M6HUJ9GBL&mid=M6HUVL53R),inm小顾,刑技交通,有实例，学到的比想象中多。,2021-01-14 00:00:00
296,《心理统计与SPSS》,孟迎芳,心理学,中国大学MOOC,阿柒NANA,心理学,体系完整，与统计学相结合，更贴进本专业学生进行专业相关的软件运用，且体系完整，结构清晰，很值得学习,2021-01-20 00:00:00
297,《普通心理学》,陈宝国,心理学,[北京师范大学](http://jpkc.bnude.cn/ptxlxx/index.html),周美眉呀,特殊教育专业,老师讲课十分风趣幽默，一看就停不下来。知识点讲的很详细，所以分集的p特别多，看的话一定要坚持哦！,2021-01-30 00:00:00
298,《普通心理学》,寇彧,心理学,[北京师范大学](http://jpkc.bnude.cn/ptxlxx/resource.html),小小哇哇,汉语言文学,北师大心理学不容错过的课程之一,2021-01-18 00:00:00
299,《社会认知心理学》,John F. Kihlstrom,心理学,[网易公开课](https://open.163.com/newview/movie/free?pid=M6GL9GG5E&mid=M6GL9N5PG),ξ,心理学,对于社会认知心理学的初步了解，学习人与人之间的交互关系，以及人是如何认识自己和周遭世界的,2021-02-08 00:00:00
300,《积极心理学》,Tal,心理学,[网易公开课](https://www.bilibili.com/video/BV1Gs411o71d),三里河的北风,侦查学,想要调整自己的心态，学习如何获取幸福，可以看看这个视频。,2021-01-17 00:00:00
301,《积极心理学》,talben shahar,心理学,网易公开课,张尔莫斯,心理学,,2021-02-08 00:00:00
302,《老年心理学》,北大张昕,心理学,[B站](https://space.bilibili.com/33937085/video),是你的翌耀呀,心理学,,2021-12-05 00:00:00
303,《认知神经科学》,杨孛梵,心理学,中国大学MOOC,地理人,心理学,讲述了很多神经生理机制,2021-01-17 00:00:00
304,《领导心理学》,talben shahar,心理学,[网易公开课](https://open.163.com/newview/movie/free?pid=MAOLIFV6H&mid=MAOLIS3K3),张尔莫斯,心理学,,2021-02-08 00:00:00
305,《高等数学/微积分》,苏德矿,所有非数学专业均适用,B站,metaphysica,自动化,借用原视频热评一句话：“这个老师可是凭脑子在讲课。”,2021-12-19 00:21:43
306,《拍摄教程》,b站up毛帽-,拍摄,B站,东方月圆,拍摄,拍摄教程 还有生活VLOg,2021-01-18 00:00:00
307,《基础拓扑学(basic topology)》,ablois,拓扑学,[中国大学MOOC](https://www.icourse163.org/learn/ZUEL-1002532013?tid=1468302448#/learn/announce),乱积云,拓扑学,, 
308,《非线性控制》,诸兵,控制,[B站](https://www.bilibili.com/video/BV1a7411j7cX),猪猪侠,控制工程,非线性控制 老师板书推导,2021-02-08 00:00:00
309,《摄影艺术》,小师父的选修课,摄影摄像,无,蝉鸣与你,新闻学,摄影是用“光”的艺术，诚邀您与光开启一段奇妙的旅程，并享受其中, 
310,《播音主持创作基础》,王明军、阎良、刘卓、陈晓鸥、王群、王宇红,播音与主持艺术,[中国大学MOOC](https://www.icourse163.org/course/CUC-1462067162),驹驹特爱笑,播音与主持艺术,在本门课程中，老师们将以通俗易懂的语言、典型的创作案例、清晰的分析讲解，带领同学们走进播音主持语言创作的艺术世界，激发同学们对播音主持语言艺术的热爱，建立语言艺术创作思维，掌握语言艺术创作的基础能力。,2021-02-09 00:00:00
311,《语言传播的发声艺术》,赵俐、徐树华、孙艳梅、潘洁,播音与主持艺术,[中国大学MOOC](https://www.icourse163.org/course/CUC-1462063164),驹驹特爱笑,播音与主持艺术,本课程主要从呼吸、吐字、发声、共鸣和情声气结合等方面进行讲解和训练，帮助播音主持专业学生以及其他进行语言传播的朋友提高用声能力，提升声音形象，获得更好的表达效果。,2021-02-09 00:00:00
312,《政治哲学导论》,Steven B. Smith,政治哲学,[网易公开课](https://open.163.com/newview/movie/free?pid=M6GGNNMHL&mid=M6GLERDK0),Humphrey,政治学,入门的政治政治哲学课程，梦开始的地方。适合对政治学等专业的学生课外拓展用，或者对正在准备英美大学的PPE专业的面试及笔试的同学。,2021-02-10 00:00:00
313,《Justice: What’s the Right Thing to Do?》——《公正：一场思辨之旅》,迈克尔·桑德尔(Michael J. Sandel）,政治学,[B站](https://www.bilibili.com/video/BV1ct4y167fM),绘梦星晨,法学,老师台风很好，和同学的问答引人思考，跟着他的课可以看看世界政治学的发展脉络,2021-02-07 00:00:00
314,《政治学导论》,唐士其,政治学,[其他](http://www.chinesemooc.org/mooc/4769),大浪君Dylan,社会学,,2021-01-19 00:00:00
315,《政治学概论》,李强,政治学,[其他](http://www.chinesemooc.org/mooc/4798),大浪君Dylan,社会学,,2021-01-19 00:00:00
316,《政治经济学》,张俊山,政治经济学,[其他](http://www.icourses.cn/sCourse/course_3699.html),阿幸,旅游管理专业,政治经济学—现代视角，有别于西方经济学。结合实际而不空洞,2021-01-16 00:00:00
317,《基础英语》,刘晓艳,教师,B站,weedfhccj,英语,自己不会找资料。想看看里面的内容,2021-12-18 06:58:28
318,《教育统计与测量》,赵德成,教育学,B站,王哪跑,教育学,讲的很详细和专业，节奏舒服！, 
319,《华中师范大学——教育学》,华中师范大学 王坤庆教授等,教育学/教育学原理,[B站](https://www.bilibili.com/video/BV1gt411g7eu),白宿xiu,教育学,每个老师都讲的特别好，03年上传的课21年听起来都热血澎湃呢！,2021-12-19 18:27:45
320,《吾国教育病理》,郑也夫,教育社会学,[超星](http://mooc1.chaoxing.com/course/200080596.html),匿,社会学,正如UP视频所述教育问题及我们正在努力的事情——这份课程进行了更加完整、学术的讨论。主讲人是位很棒的社会学老师，郑老师在城市社会学、教育社会学等方面颇有研究与著述。此课程有同名书籍，选一即可。,2021-02-07 00:00:00
321,《数字电路与逻辑设计》,任爱锋,数字电路与逻辑设计,[超星](http://ssvideo.superlib.com/cxvideo/play/page;jsessionid=0E1A6CEBFCEE2A806C2E9C232E85516F.cxvideo_web_18.30?sid=5913&vid=89557&cid=222&d=c0f868dd2b521a825f3a54d37d48072a),WY永远的神,计算机,非常详细，由浅入深，一定要看几节再评价,2021-02-08 00:00:00
322,《(北大) 高等代数》,丘维声,数学,[无](https://www.bilibili.com/video/BV19W411G7QU),inkCake,数学与应用数学,丘维声老师的高等（线性）代数是国内比较系统化的代数学课程，板书工整、详细；证明过程力求直观又不失严谨，深入浅出，不跳步，非常适合数学专业类的同学或者其他专业以完善的方式构造一份线性代数的知识体系。,2021-12-20 12:46:32
323,《【2022】【专升本高等数学】【基础全程班】【专升本高数】》,杰哥专升本,数学,无,时空宙皇,网络技术,非常适合专科生学高数,2021-12-16 15:38:24
324,《初等数论》,王章杰,数学,[B站](https://www.bilibili.com/video/BV1UL41147Zz),药不然,数学与应用数学,正在上的初等数论课，虽然上课是真的跟不上，不过看回放讲的真的不错,2021-12-21 16:31:33
325,《微分方程-入门（英文版）》,Thomas Car,数学,无,282554126,数学，哲学，信息学,, 
326,《微积分》,宋浩,数学,[B站](https://www.bilibili.com/video/BV1UW411k7Jv),落紗瑛华,种子科学与工程,期末备课看的，挺好,2021-01-16 00:00:00
327,《微积分》,苏德矿,数学,[中国大学MOOC](https://www.icourse163.org/course/ZJU-1003315004),麦克思维,非数学,比宋浩的难一点，感觉更适合想提高的同学,2021-02-07 00:00:00
328,《微积分（一）》,冷劲松,数学,[B站](https://www.bilibili.com/video/BV1KE411r7uq),达达joex,管理学,电子科技大学的课，值得学习，很完整了,2021-03-07 00:00:00
329,《微积分（三）》,冷劲松,数学,[B站](https://www.bilibili.com/video/BV1Sz411b7Lr),达达joex,管理学,,2021-03-07 00:00:00
330,《微积分（二）》,冷劲松,数学,[B站](https://www.bilibili.com/video/BV1HJ411x7z9),达达joex,管理学,,2021-03-07 00:00:00
331,《数学分析B》,程艺,数学,[B站](https://www.bilibili.com/video/BV1Lv411r7wa),麦克思维,少年班,适合所有理工科同学，可以和数学专业的数学分析无缝衔接,2021-02-07 00:00:00
332,《数学分析》,白启光,数学,[无](https://www.bilibili.com/video/BV1SK411J7By),游理db,物理,,2021-12-29 15:23:41
333,《数学分析新讲》,史一蓬,数学,[无](https://www.bilibili.com/video/BV1T5411P7wi),inkCake,数学与应用数学,教材是张筑生的数学分析新讲，2021年有重排版可购买，体系是比较完善的。推荐工科、数学专业以及物理学专业使用,2021-12-20 12:40:06
334,《线性代数》,梨米特考研数学,数学,无, ,自动化,我觉得讲的比宋浩清晰，而且贴合同济课本,2022-06-14 15:07:54
335,《线性代数》,宋浩,数学,B站,Ahvjna,经济管理,作为考研数学重点内容，宋浩老师以诙谐幽默，生动有趣的上课方式讲解相应线代知识点,2021-02-10 00:00:00
336,《线性代数》,吉尔伯特,数学,[网易公开课](http://open.163.com/special/opencourse/daishu.html),Wang hy,物理学,,2021-01-19 00:00:00
337,《线性代数》,由课程组老师合作完成,数学,[中国大学MOOC](https://www.icourse163.org/course/SDU-55001),yesi,电子科学与技术,老师讲解清晰易懂,2021-01-16 00:00:00
338,《线性代数》,Gilbert Strang,数学,[网易公开课](http://open.163.com/special/opencourse/daishu.html),小兔巴,数学,概念清晰，理论和应用方面都有涵盖。尤其对线性空间的解释非常有助于理解。MIT官网有作业集，帮助巩固知识。2020年出了新版，视频质量也有保证,2021-02-04 00:00:00
