index,推荐课程名称,授课老师,课程对应专业,平台及链接,推荐人ID,推荐人专业,推荐语,推荐日期
661,《视觉传达设计思维与方法》,陈楠,美术设计系,[学堂在线](https://www.xuetangx.com/course/THU13051000381/4230642),骨叽骨叽,美术系,在设计领域非常有水平的课程，里面主要讲解了陈楠教授自己的艺术审美体系，并且有很多具有发散性思考的陈楠教授自己参与的项目（包括08奥运会的主美设计等）和学生作业思考。陈楠老师本人的艺术思想也非常开放和超前，这在美术系的大学公开课中是很难能可贵的。,2021-02-09 00:00:00
662,《森林生态学》,何静,考研林业专业课内容,其他,有梦想的霖同学,~,讲的很清晰，大自然和我们也息息相关，可以扩展关于生态环境方面的知识,2021-12-19 14:26:25
663,《植物学》,刘朝辉,考研林业专业课内容,其他,有梦想的霖同学,~,中国农业大学的，植物的结构，多样性，植物学的发展历程 方便理解,2021-12-19 14:29:31
664,《传热学》,陶文铨等,能源动力类,[爱课程](http://www.icourses.cn/sCourse/course_4133.html),M.urderer,新能源科学与工程（制冷空调）,教材是他写的嗯，讲的很清楚,2021-02-08 00:00:00
665,《51单片机入门教程》,江苏科技大学（不知道名字，只知道学校）,自动化,B站,阿廖沙,无,,2021-12-17 14:40:11
666,《微机原理与接口技术》,周佳社,自动化,B站,metaphysica,自动化,这位老师专业知识过硬，对繁琐知识的总结十分到位。,2021-12-19 00:24:50
667,《自动控制原理》,卢京潮,自动化,[B站](https://www.bilibili.com/video/BV1dT4y157e4),书生蚍蜉,自动化,虽然学姐上的内容是给考研党的，但作为一个理科生，真的觉得非常适合期末考试时复习使用，特别通俗易懂，, 
668,《自动控制理论》期末试卷讲解,无,自动化,[B站](https://www.bilibili.com/video/BV11K4y157vh),AXYZdong,自动化,期末15分钟突击自动控制原理,2021-12-22 22:03:26
669,《运筹学》,王树尧,自动化/经管,B站,metaphysica,自动化,这位老师真的是把运筹学知识掰开揉碎了喂给同学，对新手十分友好！,2021-12-19 00:10:59
670,《自动控制原理 速成课》,多多の知识贩卖机,自动控制原理,[B站](https://www.bilibili.com/video/BV1Da4y1n7Qh),32927940,电气工程及其自动化,适合即将考试的人突击学习使用, 
